-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2014 through 03/10/2024 in LST
Location: latitude  48.1351   longitude 11.582 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 616.07 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                 MERRA-2 Wind Direction at 10 Meters (Degrees) 
PS                    MERRA-2 Surface Pressure (kPa) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,WS10M,WD10M,PS
2014,3,30,5.53,10.51,63.9,2.02,208.2,94.42
2014,3,31,3.52,11.45,60.08,2.01,272.1,94.26
2014,4,1,4.36,11.0,63.4,1.78,149.7,94.09
2014,4,2,5.07,12.33,66.54,1.71,174.4,93.81
2014,4,3,4.09,13.0,67.86,2.2,136.2,93.49
2014,4,4,3.68,12.25,72.25,2.34,101.6,93.44
2014,4,5,2.64,11.07,82.51,1.96,288.5,94.06
2014,4,6,2.97,11.01,84.69,2.06,284.2,94.72
2014,4,7,5.34,12.83,73.73,1.99,182.8,94.64
2014,4,8,2.14,10.37,81.81,4.04,265.6,94.57
2014,4,9,4.66,6.27,72.61,3.85,287.9,95.07
2014,4,10,2.3,6.59,81.85,3.19,281.3,94.88
2014,4,11,4.34,9.01,78.93,1.69,74.3,94.57
2014,4,12,5.03,10.27,70.38,1.62,113.9,94.41
2014,4,13,5.19,10.1,77.72,2.96,286.0,94.52
2014,4,14,3.09,6.97,77.72,4.97,283.6,94.4
2014,4,15,2.78,2.84,78.56,3.64,304.0,94.88
2014,4,16,3.94,3.18,77.31,2.03,27.6,95.34
2014,4,17,6.84,4.25,66.03,2.8,103.6,94.92
2014,4,18,1.92,3.9,80.76,2.95,264.0,93.94
2014,4,19,3.58,6.57,85.3,3.08,69.9,93.81
2014,4,20,4.86,9.59,81.19,3.39,79.5,93.42
2014,4,21,4.2,10.15,83.99,1.42,268.2,93.33
2014,4,22,4.91,11.79,77.56,1.57,330.8,94.06
2014,4,23,5.87,13.24,68.84,1.8,77.5,94.62
2014,4,24,5.78,13.15,70.47,2.05,86.2,94.53
2014,4,25,6.26,13.41,76.46,2.82,80.4,93.92
2014,4,26,4.45,12.94,82.2,1.63,24.7,93.87
2014,4,27,1.32,9.05,90.61,2.7,274.8,93.57
2014,4,28,1.87,9.09,87.54,1.62,325.8,93.75
2014,4,29,2.83,10.13,88.68,1.84,296.0,93.98
2014,4,30,4.93,11.63,79.45,2.32,57.0,93.75
2014,5,1,4.24,11.62,78.0,2.11,288.0,93.95
2014,5,2,2.73,10.3,84.41,2.26,320.9,93.91
2014,5,3,1.03,5.64,86.69,2.69,357.3,94.53
2014,5,4,6.03,6.92,67.96,1.64,20.4,94.79
2014,5,5,6.98,9.32,60.81,1.82,110.1,94.58
2014,5,6,5.2,13.37,67.24,2.21,234.3,94.35
2014,5,7,2.93,11.22,85.95,3.05,258.6,94.35
2014,5,8,5.01,11.84,79.26,3.11,254.3,94.54
2014,5,9,4.29,13.77,81.23,4.12,261.7,94.48
2014,5,10,4.98,14.03,79.16,2.43,269.5,94.34
2014,5,11,5.01,11.48,78.79,4.21,272.9,93.82
2014,5,12,4.56,8.32,78.25,4.11,261.8,94.2
2014,5,13,4.39,7.11,85.93,3.06,272.0,94.39
2014,5,14,5.11,7.2,78.44,3.52,313.8,95.13
2014,5,15,4.4,6.94,77.78,2.99,344.3,95.47
2014,5,16,4.55,8.21,78.18,3.15,354.4,95.18
2014,5,17,4.14,9.38,82.9,1.87,315.0,94.71
2014,5,18,4.44,11.38,81.84,2.43,287.9,94.24
2014,5,19,6.46,14.9,70.13,2.3,143.2,93.97
2014,5,20,7.52,15.96,62.41,2.11,147.7,94.29
2014,5,21,7.45,18.04,68.65,2.54,120.5,94.26
2014,5,22,6.93,20.28,65.29,2.35,177.9,93.95
2014,5,23,4.02,14.42,82.02,2.18,341.1,94.07
2014,5,24,4.68,14.09,78.6,2.99,298.2,94.37
2014,5,25,6.74,15.72,76.19,3.05,64.6,94.62
2014,5,26,4.42,15.88,79.29,1.73,244.9,94.14
2014,5,27,2.81,12.94,84.07,3.73,270.7,93.96
2014,5,28,2.61,12.57,80.79,3.62,286.4,94.06
2014,5,29,3.07,11.33,85.89,2.47,306.3,94.26
2014,5,30,2.89,9.21,79.93,1.61,23.1,94.69
2014,5,31,6.64,11.15,69.36,1.66,71.9,94.83
2014,6,1,5.14,12.8,66.21,1.81,298.8,94.7
2014,6,2,5.31,13.88,64.74,1.48,339.8,94.58
2014,6,3,5.92,13.54,70.65,1.77,278.6,94.37
2014,6,4,5.87,14.79,72.42,1.68,206.8,93.96
2014,6,5,5.93,13.78,75.02,2.37,274.2,94.44
2014,6,6,7.96,17.16,71.33,2.09,103.6,94.65
2014,6,7,7.94,20.35,66.48,1.91,111.2,94.71
2014,6,8,8.17,22.7,58.38,2.19,110.3,94.92
2014,6,9,8.21,24.0,53.03,2.14,108.9,94.8
2014,6,10,8.02,24.44,54.35,1.53,338.8,94.77
2014,6,11,6.77,22.04,68.66,2.22,305.0,95.08
2014,6,12,6.7,20.66,77.63,1.7,24.7,95.18
2014,6,13,6.68,18.45,71.89,2.13,340.2,94.74
2014,6,14,5.41,14.8,71.88,2.17,347.4,94.52
2014,6,15,6.33,14.37,67.86,2.76,57.4,94.64
2014,6,16,6.9,14.88,63.48,2.42,50.7,94.57
2014,6,17,4.71,15.31,61.72,2.39,49.9,94.55
2014,6,18,6.81,15.73,66.29,2.71,66.1,94.61
2014,6,19,6.46,17.0,62.07,2.48,301.7,94.49
2014,6,20,3.59,13.14,77.04,2.92,304.1,94.53
2014,6,21,6.43,14.79,63.1,1.78,311.1,94.62
2014,6,22,8.2,16.92,63.31,1.92,322.7,94.72
2014,6,23,7.48,17.95,63.53,1.56,16.6,94.76
2014,6,24,6.15,15.74,73.32,1.12,25.2,94.42
2014,6,25,4.29,13.82,76.08,2.78,311.2,94.03
2014,6,26,7.69,14.77,61.66,1.42,26.8,94.31
2014,6,27,6.54,17.97,60.2,1.84,232.5,94.48
2014,6,28,5.67,19.65,68.98,1.78,194.3,94.29
2014,6,29,2.13,14.32,88.63,2.77,240.0,94.0
2014,6,30,4.68,12.33,83.52,3.27,274.9,94.4
2014,7,1,7.01,14.92,69.0,1.68,33.3,94.67
2014,7,2,2.16,14.19,83.62,1.76,143.5,94.89
2014,7,3,7.86,16.6,66.1,1.74,191.1,95.31
2014,7,4,6.34,20.27,66.8,2.23,157.7,94.35
2014,7,5,4.6,18.11,78.39,2.9,260.1,94.19
2014,7,6,7.72,22.13,66.53,2.03,106.4,94.22
2014,7,7,5.19,19.85,80.83,2.37,11.4,94.31
2014,7,8,1.99,15.36,89.05,3.82,269.6,93.77
2014,7,9,2.59,11.37,84.89,4.6,263.5,93.81
2014,7,10,2.29,12.06,81.3,3.02,270.2,93.84
2014,7,11,4.97,14.99,82.56,1.88,306.8,94.02
2014,7,12,3.58,15.98,84.46,2.7,277.4,94.13
2014,7,13,5.06,16.32,83.9,2.16,266.2,94.12
2014,7,14,5.25,17.72,77.24,2.15,280.7,94.38
2014,7,15,6.25,18.38,74.72,1.69,319.5,94.93
2014,7,16,6.71,20.66,65.72,1.24,4.7,95.01
2014,7,17,6.88,21.22,62.25,1.47,321.2,95.04
2014,7,18,7.7,21.81,58.33,1.56,100.0,94.89
2014,7,19,7.92,23.15,58.89,1.84,120.2,94.48
2014,7,20,5.06,22.73,74.25,2.24,261.2,94.09
2014,7,21,2.11,17.31,92.31,2.46,273.6,94.01
2014,7,22,2.47,17.58,88.43,1.92,251.7,94.05
2014,7,23,6.52,18.5,77.5,2.18,63.5,94.39
2014,7,24,6.59,18.96,67.38,1.85,63.9,94.17
2014,7,25,6.24,19.55,66.64,1.61,315.3,94.25
2014,7,26,4.02,18.8,81.26,1.7,334.7,94.11
2014,7,27,3.81,18.08,88.06,2.14,277.6,94.35
2014,7,28,5.5,19.21,83.2,2.14,60.7,94.09
2014,7,29,3.41,17.65,89.6,1.41,312.2,93.72
2014,7,30,2.78,16.63,95.5,2.63,281.8,93.84
2014,7,31,4.12,17.21,86.48,2.46,347.1,94.35
2014,8,1,5.33,18.22,81.45,2.43,84.3,94.13
2014,8,2,5.1,20.81,82.0,0.83,193.8,93.91
2014,8,3,4.82,19.0,85.04,1.6,334.7,94.14
2014,8,4,6.1,19.06,78.69,1.82,290.8,94.51
2014,8,5,4.48,16.42,85.4,2.3,291.8,94.71
2014,8,6,5.75,17.13,74.82,1.53,19.7,94.62
2014,8,7,4.35,18.11,75.43,1.23,285.6,94.51
2014,8,8,6.48,18.98,77.66,1.75,121.0,94.39
2014,8,9,3.91,19.44,83.36,2.39,245.0,94.37
2014,8,10,4.9,21.37,75.67,1.79,164.2,94.15
2014,8,11,2.68,17.29,91.35,1.98,295.0,94.38
2014,8,12,4.48,15.73,80.78,1.61,231.2,94.45
2014,8,13,1.06,15.1,91.16,3.25,180.0,93.73
2014,8,14,4.13,13.4,81.2,2.29,260.4,94.29
2014,8,15,3.69,12.6,85.76,2.78,257.7,94.38
2014,8,16,3.81,12.02,85.35,3.34,270.5,94.76
2014,8,17,5.92,14.15,76.44,2.49,253.9,94.57
2014,8,18,4.13,15.68,76.47,2.72,270.6,94.12
2014,8,19,4.2,14.39,84.83,1.7,285.9,94.22
2014,8,20,3.12,12.53,86.29,1.28,20.1,94.5
2014,8,21,5.1,13.01,77.61,1.93,255.7,94.57
2014,8,22,4.66,15.14,71.64,1.17,231.8,94.44
2014,8,23,3.66,14.38,80.38,1.82,266.4,94.42
2014,8,24,4.61,11.75,76.66,3.01,278.3,94.76
2014,8,25,4.3,13.52,67.87,1.28,232.2,94.54
2014,8,26,3.19,15.6,88.53,3.46,248.2,93.78
2014,8,27,3.48,13.95,86.99,3.17,272.0,94.33
2014,8,28,5.2,15.34,76.64,1.68,114.8,94.7
2014,8,29,3.03,17.28,81.07,1.78,242.3,94.68
2014,8,30,4.34,16.64,83.62,1.58,299.1,94.75
2014,8,31,1.33,12.9,94.87,2.29,259.1,94.42
2014,9,1,2.3,11.1,89.67,3.02,315.1,94.61
2014,9,2,2.96,12.14,84.96,2.05,330.8,94.79
2014,9,3,2.32,13.24,91.77,2.29,71.1,94.77
2014,9,4,2.75,16.03,86.04,3.04,86.5,94.54
2014,9,5,2.84,16.86,86.47,1.31,206.4,94.36
2014,9,6,4.38,17.58,82.06,0.9,65.6,94.26
2014,9,7,4.63,17.76,79.89,1.49,167.9,94.36
2014,9,8,4.48,18.96,74.22,1.21,240.5,94.52
2014,9,9,3.51,16.93,85.52,1.53,344.6,94.58
2014,9,10,3.82,14.74,80.15,1.39,355.4,94.44
2014,9,11,2.84,11.97,86.34,1.64,334.5,94.3
2014,9,12,0.83,10.3,91.16,3.33,262.0,94.38
2014,9,13,2.28,11.76,91.48,1.73,299.6,94.75
2014,9,14,2.11,13.5,94.46,1.66,336.3,94.64
2014,9,15,2.5,14.73,86.29,1.96,89.0,94.49
2014,9,16,3.24,14.83,86.43,1.2,99.1,94.45
2014,9,17,3.91,15.76,82.79,1.89,113.9,94.26
2014,9,18,3.91,16.9,81.33,1.52,184.2,94.25
2014,9,19,3.99,17.6,81.49,1.54,208.8,94.41
2014,9,20,2.8,16.01,89.79,2.16,258.6,94.5
2014,9,21,2.17,14.75,94.31,2.94,267.6,94.4
2014,9,22,2.46,9.72,87.46,4.24,290.0,94.56
2014,9,23,4.06,8.43,78.98,2.54,287.0,94.79
2014,9,24,4.33,10.42,80.41,2.17,250.7,94.28
2014,9,25,2.16,10.01,87.51,2.91,272.9,94.75
2014,9,26,3.37,10.55,81.2,2.62,270.0,95.28
2014,9,27,2.95,12.68,82.86,1.77,69.9,95.56
2014,9,28,2.54,13.66,88.7,1.55,116.1,95.39
2014,9,29,3.43,15.32,85.09,1.64,184.1,95.36
2014,9,30,1.89,14.12,88.67,1.58,248.6,95.39
2014,10,1,2.36,13.73,93.51,1.06,292.6,95.38
2014,10,2,2.23,12.95,89.46,1.49,84.7,95.57
2014,10,3,3.09,11.28,86.56,2.32,94.6,95.28
2014,10,4,2.06,10.2,87.31,2.1,96.3,94.7
2014,10,5,1.67,11.5,86.84,1.43,100.0,94.47
2014,10,6,1.29,11.65,86.15,1.33,102.0,94.18
2014,10,7,2.18,13.38,76.99,2.08,184.6,94.04
2014,10,8,2.34,14.43,83.08,2.19,174.0,94.21
2014,10,9,3.78,16.09,76.96,2.19,191.1,94.1
2014,10,10,2.18,15.17,84.24,1.86,109.7,94.43
2014,10,11,1.4,14.75,88.41,1.74,227.5,94.34
2014,10,12,2.4,14.91,85.12,2.05,128.8,94.26
2014,10,13,1.35,15.12,84.29,1.97,230.9,93.87
2014,10,14,3.39,13.49,81.98,1.53,188.3,93.97
2014,10,15,2.23,12.95,84.13,1.69,249.7,93.82
2014,10,16,1.7,13.24,91.74,2.47,250.8,93.97
2014,10,17,1.59,11.97,93.91,1.86,263.3,94.39
2014,10,18,2.78,12.43,82.03,1.78,132.7,95.11
2014,10,19,3.02,14.05,78.71,2.48,226.8,95.06
2014,10,20,1.63,15.4,83.89,2.97,265.1,94.77
2014,10,21,1.76,12.47,90.64,3.74,264.1,94.0
2014,10,22,0.79,3.96,89.35,7.22,279.2,94.06
2014,10,23,0.76,3.47,97.83,5.03,307.6,94.71
2014,10,24,2.14,4.79,93.77,1.53,135.7,94.96
2014,10,25,1.22,5.26,82.62,1.32,191.8,94.9
2014,10,26,2.09,6.96,85.73,1.62,159.4,95.36
2014,10,27,1.0,4.05,85.65,1.83,108.1,95.29
2014,10,28,0.9,4.48,83.82,1.42,96.7,94.82
2014,10,29,1.74,6.83,89.21,1.97,256.5,94.65
2014,10,30,0.79,6.59,94.42,1.84,251.4,95.22
2014,10,31,1.82,9.2,86.68,1.51,158.8,95.38
2014,11,1,2.04,10.24,79.8,1.81,165.6,95.11
2014,11,2,2.27,10.2,77.64,1.96,210.2,94.67
2014,11,3,2.35,9.01,80.81,2.65,181.5,93.91
2014,11,4,1.65,10.62,75.87,3.28,177.6,92.87
2014,11,5,0.52,7.92,88.9,2.9,290.7,92.95
2014,11,6,0.78,3.14,95.95,1.54,281.6,93.99
2014,11,7,0.99,4.97,96.2,1.12,152.2,93.9
2014,11,8,2.25,6.57,87.94,2.18,125.7,94.21
2014,11,9,1.06,7.16,91.64,1.81,141.5,93.84
2014,11,10,0.66,6.37,93.81,1.55,228.5,94.08
2014,11,11,0.82,8.39,93.85,2.19,133.2,93.72
2014,11,12,1.06,8.45,92.4,2.14,214.0,93.3
2014,11,13,0.49,6.94,94.9,1.5,267.7,94.01
2014,11,14,0.73,7.26,90.81,1.42,124.9,93.87
2014,11,15,0.76,7.88,89.97,1.94,160.4,93.25
2014,11,16,1.27,4.18,96.19,2.42,206.8,93.2
2014,11,17,0.71,4.26,89.17,1.93,122.9,93.3
2014,11,18,0.26,2.75,96.99,3.39,253.6,93.38
2014,11,19,0.5,3.36,97.61,2.94,262.0,94.56
2014,11,20,0.86,3.44,91.02,1.39,106.8,95.2
2014,11,21,0.98,2.91,88.48,2.08,112.3,94.97
2014,11,22,1.25,5.92,88.89,1.43,154.5,94.9
2014,11,23,0.77,5.3,90.88,1.85,147.0,95.01
2014,11,24,0.9,7.22,85.3,1.62,231.8,94.98
2014,11,25,0.55,5.08,94.34,3.21,74.7,94.92
2014,11,26,0.54,3.37,93.17,2.03,84.4,94.34
2014,11,27,0.61,4.43,91.23,2.03,102.4,93.81
2014,11,28,0.36,3.26,94.42,2.31,113.6,93.86
2014,11,29,0.41,3.08,96.31,2.23,96.3,94.1
2014,11,30,0.56,3.16,95.3,2.28,87.4,93.88
2014,12,1,0.34,2.46,97.73,2.75,68.3,93.28
2014,12,2,0.46,0.85,96.95,1.4,67.3,93.64
2014,12,3,0.38,0.14,96.12,1.6,52.5,94.17
2014,12,4,0.43,1.82,95.23,1.1,40.3,94.1
2014,12,5,0.32,1.85,94.1,1.23,44.9,94.4
2014,12,6,0.42,0.1,96.23,1.09,326.5,94.65
2014,12,7,0.43,0.33,97.58,1.37,281.7,94.71
2014,12,8,0.59,0.28,93.34,2.11,268.4,94.63
2014,12,9,0.64,-1.64,93.85,0.85,64.0,95.13
2014,12,10,0.61,-1.07,86.97,2.22,232.3,95.03
2014,12,11,0.62,1.83,92.4,4.65,250.2,94.48
2014,12,12,0.91,2.01,85.07,3.24,219.7,94.06
2014,12,13,1.17,2.57,85.09,2.85,207.0,94.12
2014,12,14,0.69,4.42,85.6,2.33,207.1,94.48
2014,12,15,0.51,4.08,89.53,2.19,223.3,94.47
2014,12,16,0.55,3.86,95.63,1.51,271.0,94.1
2014,12,17,0.49,2.57,95.28,2.39,251.5,94.06
2014,12,18,0.65,6.42,91.53,4.79,248.9,94.46
2014,12,19,0.81,9.02,85.91,6.02,257.2,94.66
2014,12,20,0.73,4.19,86.53,5.65,269.8,95.04
2014,12,21,0.97,1.42,89.44,4.6,265.0,95.67
2014,12,22,0.96,3.09,75.05,4.69,255.8,95.28
2014,12,23,1.35,3.78,72.75,3.75,260.5,95.1
2014,12,24,1.17,2.77,79.04,4.24,257.5,94.93
2014,12,25,0.6,2.56,89.78,4.54,271.0,95.05
2014,12,26,0.73,-1.33,93.84,3.17,287.8,95.25
2014,12,27,0.39,-2.48,92.02,2.32,159.7,93.39
2014,12,28,0.39,-4.8,89.35,3.06,33.7,93.85
2014,12,29,0.47,-7.59,91.88,4.17,274.8,95.39
2014,12,30,0.49,-4.96,95.5,2.55,273.9,95.74
2014,12,31,0.34,-3.63,98.69,2.37,275.8,95.88
2015,1,1,0.61,-4.66,93.25,2.08,221.4,96.09
2015,1,2,0.53,-0.56,93.78,4.14,252.3,95.74
2015,1,3,0.55,0.42,97.36,3.55,256.0,95.14
2015,1,4,0.96,-0.71,95.28,4.89,281.4,95.44
2015,1,5,1.26,-2.58,91.28,3.47,263.6,95.76
2015,1,6,1.52,-2.57,76.62,2.1,206.0,95.16
2015,1,7,1.05,-1.63,89.88,2.62,259.8,95.48
2015,1,8,0.87,1.23,90.18,4.08,246.6,95.52
2015,1,9,0.64,4.23,87.77,7.58,257.3,95.29
2015,1,10,1.28,9.99,84.97,9.84,261.7,94.46
2015,1,11,0.79,2.59,88.08,6.4,277.6,94.55
2015,1,12,0.65,1.38,78.17,5.64,257.1,95.12
2015,1,13,1.79,2.6,73.01,3.18,218.3,94.53
2015,1,14,0.41,2.91,88.68,4.12,247.9,94.39
2015,1,15,0.81,1.0,93.67,2.73,185.7,94.1
2015,1,16,0.86,3.08,91.75,2.72,182.0,93.58
2015,1,17,0.5,0.06,98.06,2.12,297.9,94.0
2015,1,18,0.78,-1.39,96.32,1.57,84.9,94.32
2015,1,19,1.31,-3.06,85.99,1.87,167.0,93.87
2015,1,20,0.75,-2.41,89.12,1.42,237.7,93.74
2015,1,21,0.56,-1.89,93.12,2.66,88.2,93.72
2015,1,22,0.57,-1.16,93.79,1.58,293.9,93.83
2015,1,23,0.45,-1.5,95.3,2.17,297.7,94.54
2015,1,24,0.55,-2.27,95.23,2.28,296.2,94.64
2015,1,25,0.81,-2.42,93.52,3.12,301.4,95.11
2015,1,26,1.11,-2.4,92.31,2.59,250.8,94.98
2015,1,27,0.81,-1.14,95.91,4.15,280.8,94.54
2015,1,28,1.0,-3.15,95.89,3.02,233.5,94.17
2015,1,29,1.39,-1.1,95.74,2.98,216.5,92.28
2015,1,30,0.89,-3.26,94.31,3.99,243.5,90.68
2015,1,31,1.33,-2.91,94.92,2.85,250.5,91.29
2015,2,1,1.38,-4.33,94.41,3.04,248.6,91.98
2015,2,2,1.34,-2.9,96.89,3.25,262.4,92.72
2015,2,3,2.1,-5.85,94.61,1.72,90.3,93.06
2015,2,4,1.9,-7.51,96.74,1.58,68.7,93.6
2015,2,5,1.83,-5.76,95.9,4.63,66.8,93.94
2015,2,6,1.71,-6.26,94.59,4.88,70.5,94.4
2015,2,7,2.54,-8.95,94.09,2.74,93.5,95.08
2015,2,8,1.64,-5.55,93.87,4.74,296.6,94.9
2015,2,9,0.66,-4.91,96.05,5.24,258.5,95.3
2015,2,10,1.87,-1.88,94.65,2.16,252.3,95.51
2015,2,11,1.22,-1.87,90.96,1.98,102.2,95.2
2015,2,12,1.43,-1.5,80.86,1.36,159.1,94.92
2015,2,13,2.19,-1.26,86.01,1.62,175.4,94.57
2015,2,14,2.27,-0.39,90.57,2.05,154.1,93.94
2015,2,15,1.75,-0.05,92.15,2.15,117.2,93.87
2015,2,16,1.99,0.39,88.31,1.48,141.8,94.5
2015,2,17,1.51,-0.19,89.61,1.76,270.0,95.52
2015,2,18,1.42,-0.83,89.42,1.61,78.2,96.3
2015,2,19,1.89,0.19,80.5,1.22,233.3,95.63
2015,2,20,3.25,2.31,72.69,2.28,188.0,94.51
2015,2,21,2.79,1.54,81.12,2.53,216.6,93.05
2015,2,22,2.38,-0.15,93.59,1.8,337.1,93.48
2015,2,23,1.32,1.16,87.7,2.14,231.1,93.11
2015,2,24,3.05,0.67,94.87,2.61,279.5,93.58
2015,2,25,1.82,0.56,89.33,1.77,288.6,94.47
